category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_init4_ground-2.yml	True	TIMEOUT	301.178401791	3450.028032	TIMEOUT	301.337771235	3765.829632	TIMEOUT	301.482922032	3765.850112	TIMEOUT	301.559456538	3766.41536	TIMEOUT	301.610134618	3766.460416	TIMEOUT	301.30395176	3766.39488	TIMEOUT	301.611078237	3766.362112
ReachSafety-Arrays	array-examples	standard_init5_ground-1.yml	True	TIMEOUT	301.465802387	3956.809728	TIMEOUT	301.193116858	4324.093952	TIMEOUT	301.291000425	4324.089856	TIMEOUT	301.41100782	4324.63872	TIMEOUT	301.27839244	4324.585472	TIMEOUT	301.170738184	4324.614144	TIMEOUT	301.343232034	4324.622336
ReachSafety-Arrays	array-examples	standard_init5_ground-2.yml	False	TIMEOUT	301.45535003	3956.875264	TIMEOUT	301.38235107	4323.975168	TIMEOUT	301.379254431	4324.098048	TIMEOUT	301.412529912	4324.507648	TIMEOUT	301.390343941	4324.466688	TIMEOUT	301.400347103	4324.405248	TIMEOUT	301.339432807	4324.483072
ReachSafety-Arrays	array-examples	standard_init6_ground-1.yml	False	TIMEOUT	301.009901053	4546.306048	TIMEOUT	301.643262829	4964.732928	TIMEOUT	301.373175533	4964.790272	TIMEOUT	301.533881031	4965.281792	TIMEOUT	301.515367757	4965.277696	TIMEOUT	301.481090435	4965.326848	TIMEOUT	301.905766047	4965.281792
ReachSafety-Arrays	array-examples	standard_init6_ground-2.yml	True	TIMEOUT	301.104104329	4546.31424	TIMEOUT	301.667329323	4964.708352	TIMEOUT	301.475590577	4964.806656	TIMEOUT	301.449589066	4965.265408	TIMEOUT	301.535587885	4965.25312	TIMEOUT	301.482396255	4965.240832	TIMEOUT	301.524428669	4965.277696
ReachSafety-Arrays	array-examples	standard_init7_ground-1.yml	False	OUT OF MEMORY	120.536992505	4999.999488	OUT OF MEMORY	102.435819218	4999.999488	OUT OF MEMORY	101.500961633	4999.999488	OUT OF MEMORY	104.071261089	4999.999488	OUT OF MEMORY	99.129203217	4999.999488	OUT OF MEMORY	105.067849481	4999.999488	OUT OF MEMORY	101.498001389	4999.999488
ReachSafety-Arrays	array-examples	standard_init7_ground-2.yml	True	OUT OF MEMORY	120.419075602	4999.999488	OUT OF MEMORY	102.814400257	4999.999488	OUT OF MEMORY	100.594980001	4999.999488	OUT OF MEMORY	103.492712013	4999.999488	OUT OF MEMORY	99.37541776	4999.999488	OUT OF MEMORY	104.865517104	4999.999488	OUT OF MEMORY	102.353822578	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-1.yml	False	OUT OF MEMORY	106.819304542	4999.999488	OUT OF MEMORY	98.518350349	4999.999488	OUT OF MEMORY	99.964310659	4999.999488	OUT OF MEMORY	102.957500174	4999.999488	OUT OF MEMORY	99.432365166	4999.999488	OUT OF MEMORY	104.125943264	4999.999488	OUT OF MEMORY	101.302580209	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-2.yml	True	OUT OF MEMORY	106.380676391	4999.999488	OUT OF MEMORY	102.557149807	4999.999488	OUT OF MEMORY	100.392432299	4999.999488	OUT OF MEMORY	104.898319454	4999.999488	OUT OF MEMORY	99.21073958	4999.999488	OUT OF MEMORY	103.725743821	4999.999488	OUT OF MEMORY	102.144421729	4999.999488
ReachSafety-Arrays	array-examples	standard_init9_ground-1.yml	False	OUT OF MEMORY	105.058393129	4999.999488	OUT OF MEMORY	99.027343439	4999.999488	OUT OF MEMORY	95.228745149	4999.999488	OUT OF MEMORY	101.947834489	4999.999488	OUT OF MEMORY	95.571994319	4999.999488	OUT OF MEMORY	101.29080475	4999.999488	OUT OF MEMORY	99.121061468	4999.999488
