category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_init3_ground-2.yml	True	TIMEOUT	301.197532021	2885.574656	TIMEOUT	301.28749195	3057.913856	TIMEOUT	301.211500563	3057.999872	TIMEOUT	301.311663367	3058.696192
ReachSafety-Arrays	array-examples	standard_init4_ground-1.yml	False	TIMEOUT	301.284663855	3450.191872	TIMEOUT	300.662347016	3643.441152	TIMEOUT	301.297035589	3643.478016	TIMEOUT	301.173763511	3644.1088
ReachSafety-Arrays	array-examples	standard_init4_ground-2.yml	True	TIMEOUT	301.248531193	3450.14272	TIMEOUT	301.352228465	3643.441152	TIMEOUT	300.84819088	3643.445248	TIMEOUT	301.241203168	3644.0064
ReachSafety-Arrays	array-examples	standard_init5_ground-1.yml	True	TIMEOUT	301.413717692	3956.862976	TIMEOUT	301.322064985	4171.34592	TIMEOUT	301.254840192	4171.264	TIMEOUT	301.347171389	4171.681792
ReachSafety-Arrays	array-examples	standard_init5_ground-2.yml	False	TIMEOUT	301.384473847	3956.785152	TIMEOUT	301.33500888	4171.042816	TIMEOUT	301.658051934	4171.268096	TIMEOUT	301.409489418	4171.710464
ReachSafety-Arrays	array-examples	standard_init6_ground-1.yml	False	TIMEOUT	301.366341742	4546.289664	TIMEOUT	301.468866785	4781.654016	TIMEOUT	301.629627076	4781.600768	TIMEOUT	301.800231979	4782.10048
ReachSafety-Arrays	array-examples	standard_init6_ground-2.yml	True	TIMEOUT	301.370770163	4546.367488	TIMEOUT	301.471868329	4781.633536	TIMEOUT	301.456378076	4781.682688	TIMEOUT	301.49120202	4782.096384
ReachSafety-Arrays	array-examples	standard_init7_ground-1.yml	False	OUT OF MEMORY	118.38826278	4999.999488	OUT OF MEMORY	89.249704884	4999.999488	OUT OF MEMORY	97.788341709	4999.999488	OUT OF MEMORY	97.292800545	4999.999488
ReachSafety-Arrays	array-examples	standard_init7_ground-2.yml	True	OUT OF MEMORY	116.031081399	4999.999488	OUT OF MEMORY	96.167782478	4999.999488	OUT OF MEMORY	97.632873229	4999.999488	OUT OF MEMORY	96.747592878	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-1.yml	False	OUT OF MEMORY	103.410749608	4999.999488	OUT OF MEMORY	91.453733113	4999.999488	OUT OF MEMORY	98.348524309	4999.999488	OUT OF MEMORY	95.836273544	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-2.yml	True	OUT OF MEMORY	104.145287963	4999.999488	OUT OF MEMORY	89.819790106	4999.999488	OUT OF MEMORY	98.017407667	4999.999488	OUT OF MEMORY	97.147141223	4999.999488
ReachSafety-Arrays	array-examples	standard_init9_ground-1.yml	False	OUT OF MEMORY	99.323191097	4999.999488	OUT OF MEMORY	91.819826678	4999.999488	OUT OF MEMORY	97.041222669	4999.999488	OUT OF MEMORY	94.503726199	4999.999488
ReachSafety-Arrays	array-examples	standard_init9_ground-2.yml	True	OUT OF MEMORY	98.684185973	4999.999488	OUT OF MEMORY	92.428255042	4999.999488	OUT OF MEMORY	94.745862017	4999.999488	OUT OF MEMORY	94.29728122	4999.999488
ReachSafety-Arrays	array-examples	standard_maxInArray_ground.yml	True	TIMEOUT	301.219004027	3455.471616	TIMEOUT	301.360487806	3951.689728	TIMEOUT	301.315986197	3951.685632	TIMEOUT	301.336381021	3952.3328
ReachSafety-Arrays	array-examples	standard_minInArray_ground-1.yml	False	TIMEOUT	301.276139049	3462.254592	TIMEOUT	301.421241483	3998.937088	TIMEOUT	301.342870765	3998.932992	TIMEOUT	301.414711025	3999.240192
ReachSafety-Arrays	array-examples	standard_minInArray_ground-2.yml	True	TIMEOUT	301.347802795	3462.193152	TIMEOUT	301.328192072	3999.014912	TIMEOUT	301.500993216	3999.0272	TIMEOUT	301.923227368	3999.469568
ReachSafety-Arrays	array-examples	standard_palindrome_ground.yml	True	TIMEOUT	301.107428401	1094.36928	TIMEOUT	301.12614205	1264.45568	TIMEOUT	301.174491475	1228.464128	TIMEOUT	301.329761466	1227.644928
ReachSafety-Arrays	array-examples	standard_partial_init_ground.yml	True	TIMEOUT	301.122665509	834.564096	TIMEOUT	301.131200579	1005.121536	TIMEOUT	301.051781052	1005.34272	TIMEOUT	301.164500391	1021.800448
ReachSafety-Arrays	array-examples	standard_partition_ground-1.yml	False	TIMEOUT	301.00200999	160.059392	TIMEOUT	301.09131146	694.714368	TIMEOUT	301.092270536	693.878784	TIMEOUT	301.125350822	694.51776
ReachSafety-Arrays	array-examples	standard_partition_ground-2.yml	True	TIMEOUT	301.10712337	1137.291264	TIMEOUT	301.13473311	1413.808128	TIMEOUT	300.964014096	1378.177024	TIMEOUT	301.216637006	1338.372096
ReachSafety-Arrays	array-examples	standard_partition_original_ground.yml	True	TIMEOUT	301.121171684	1095.593984	TIMEOUT	301.12998916	1233.5104	TIMEOUT	301.162399124	1209.397248	TIMEOUT	301.173000991	1208.946688
ReachSafety-Arrays	array-examples	standard_password_ground.yml	True	TIMEOUT	301.31874813	3599.736832	TIMEOUT	301.406459665	3835.379712	TIMEOUT	301.474884698	3835.359232	TIMEOUT	301.450171985	3855.200256
ReachSafety-Arrays	array-examples	standard_reverse_ground.yml	True	TIMEOUT	301.193740712	2604.322816	TIMEOUT	301.248831537	2843.090944	TIMEOUT	301.467206816	2843.086848	TIMEOUT	301.318559429	2843.58656
ReachSafety-Arrays	array-examples	standard_running-1.yml	False	TIMEOUT	301.094457616	736.047104	TIMEOUT	301.190228054	1657.708544	TIMEOUT	301.326645611	1657.679872	TIMEOUT	301.18420288	1673.658368
ReachSafety-Arrays	array-examples	standard_running-2.yml	True	TIMEOUT	301.097571829	736.055296	TIMEOUT	301.151653725	1667.305472	TIMEOUT	301.190710637	1667.301376	TIMEOUT	301.181923769	1682.788352
ReachSafety-Arrays	array-examples	standard_sentinel-2.yml	True	OUT OF MEMORY	244.9459729	4999.999488	OUT OF MEMORY	233.599075573	4999.999488	OUT OF MEMORY	238.120982524	4999.999488	OUT OF MEMORY	238.383577056	4999.999488
ReachSafety-Arrays	array-examples	standard_sentinel.i.v+cfa-reducer.yml	True	OUT OF MEMORY	239.724189293	4999.999488	OUT OF MEMORY	229.589169008	4999.999488	OUT OF MEMORY	233.892567935	4999.999488	OUT OF MEMORY	240.027385052	4999.999488
ReachSafety-Arrays	array-examples	standard_seq_init_ground.yml	True	TIMEOUT	300.97425408	136.802304	TIMEOUT	301.051556413	435.802112	TIMEOUT	300.941687978	442.38848	TIMEOUT	301.03638408	442.658816
ReachSafety-Arrays	array-examples	standard_strcmp_ground.yml	True	OUT OF MEMORY	175.625455607	4999.999488	OUT OF MEMORY	125.05698457	4999.999488	OUT OF MEMORY	133.385970517	4999.999488	OUT OF MEMORY	140.558438463	4999.999488
ReachSafety-Arrays	array-examples	standard_strcpy_ground-1.yml	True	OUT OF MEMORY	142.347081482	4999.999488	OUT OF MEMORY	142.514670657	4999.999488	OUT OF MEMORY	142.001639097	4999.999488	OUT OF MEMORY	144.101135064	4999.999488
ReachSafety-Arrays	array-examples	standard_strcpy_original-2.yml	True	OUT OF MEMORY	165.124559164	4999.999488	OUT OF MEMORY	152.102568356	4999.999488	OUT OF MEMORY	164.501041267	4999.999488	OUT OF MEMORY	166.52209887	4999.999488
ReachSafety-Arrays	array-examples	standard_two_index_01.yml	True	TIMEOUT	301.116611805	900.288512	TIMEOUT	301.062592846	831.090688	TIMEOUT	301.065905683	818.003968	TIMEOUT	300.868969741	801.251328
ReachSafety-Arrays	array-examples	standard_two_index_02.yml	True	TIMEOUT	301.130224075	902.979584	TIMEOUT	301.13880798	843.12064	TIMEOUT	301.12524752	806.670336	TIMEOUT	301.115919315	796.127232
ReachSafety-Arrays	array-examples	standard_two_index_03.yml	True	TIMEOUT	301.135594517	900.288512	TIMEOUT	300.914220706	850.030592	TIMEOUT	301.014683059	816.246784	TIMEOUT	300.973136648	809.742336
