category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-programs	partial_mod_count_limited_4.yml	True	TIMEOUT	120.938361377	80.781312	TIMEOUT	120.749689708	80.461824	TIMEOUT	120.936422329	78.606336	TIMEOUT	121.009903536	82.345984
ReachSafety-Arrays	array-programs	partial_mod_count_limited_5.yml	True	TIMEOUT	120.810368314	78.864384	TIMEOUT	120.871067521	79.519744	TIMEOUT	120.896054387	78.897152	TIMEOUT	121.007698165	83.1488
ReachSafety-Arrays	array-programs	partial_mod_count_limited_base.yml	True	TIMEOUT	120.4995617	85.118976	TIMEOUT	120.847240022	86.994944	TIMEOUT	120.872869539	83.49696	TIMEOUT	121.003012778	89.092096
ReachSafety-Arrays	array-programs	partial_mod_count_limited_gen.yml	True	TIMEOUT	120.810929719	51.478528	TIMEOUT	120.766029723	51.699712	TIMEOUT	120.859851731	50.958336	TIMEOUT	120.965482256	52.645888
ReachSafety-Arrays	array-crafted	mapavg1.yml	True	TIMEOUT	120.972542518	185.622528	TIMEOUT	120.870858762	200.187904	TIMEOUT	120.63956259	203.784192	TIMEOUT	121.079638296	186.310656
ReachSafety-Arrays	array-crafted	mapavg2.yml	True	TIMEOUT	121.135863424	1129.058304	TIMEOUT	120.763792067	857.45664	TIMEOUT	120.87372866	849.944576	TIMEOUT	121.173413859	1128.697856
ReachSafety-Arrays	array-crafted	mapavg3.yml	True	TIMEOUT	120.98083075	565.231616	TIMEOUT	121.075293108	538.07104	TIMEOUT	121.038634202	296.472576	TIMEOUT	121.092113615	565.997568
ReachSafety-Arrays	array-crafted	mapavg4.yml	True	TIMEOUT	121.145064969	1343.46752	TIMEOUT	121.201686538	1536.442368	TIMEOUT	121.221529194	1524.006912	TIMEOUT	121.206859628	1360.965632
ReachSafety-Arrays	array-crafted	mapavg5.yml	True	TIMEOUT	120.842611198	76.3904	TIMEOUT	120.301448591	78.47936	TIMEOUT	120.942608577	77.98784	TIMEOUT	121.012809868	79.777792
ReachSafety-Arrays	array-crafted	mapsum1.yml	True	true	115.462396412	122.855424	TIMEOUT	120.987048767	131.362816	TIMEOUT	120.997134142	134.447104	true	115.745510902	123.00288
ReachSafety-Arrays	array-crafted	mapsum2.yml	True	TIMEOUT	121.065198326	671.96928	TIMEOUT	121.267827056	679.8336	TIMEOUT	120.575413577	689.696768	TIMEOUT	121.043061079	689.60256
ReachSafety-Arrays	array-crafted	mapsum3.yml	True	TIMEOUT	120.713599149	286.810112	TIMEOUT	121.379373913	589.787136	TIMEOUT	120.840062035	284.471296	TIMEOUT	120.983315186	499.539968
ReachSafety-Arrays	array-crafted	mapsum4.yml	True	TIMEOUT	120.486011243	1352.187904	TIMEOUT	121.748063629	1553.420288	TIMEOUT	121.171538942	1538.678784	TIMEOUT	121.221116543	1332.867072
ReachSafety-Arrays	array-crafted	mapsum5.yml	True	TIMEOUT	120.949053933	68.62848	TIMEOUT	120.984640918	66.777088	TIMEOUT	120.929444977	66.797568	TIMEOUT	121.014946715	69.36576
ReachSafety-Arrays	array-crafted	zero_sum1.yml	True	TIMEOUT	120.965408019	73.555968	TIMEOUT	121.015131388	73.601024	TIMEOUT	120.97501329	73.560064	TIMEOUT	121.002425977	74.391552
